nombre,provincia,valor,year
erogacion_de_capital,Mendoza,414100738.540952,2015
personal,Mendoza,10348911410.33,2015
transferencias_educacion_privada,Mendoza,1186080499.59,2015
transferencias_otras,Mendoza,131137332.5,2015
bienes_y_servicios_no_personales,Mendoza,346608983.12,2016
erogacion_de_capital,Mendoza,315843274.726984,2016
personal,Mendoza,12501077125.33,2016
transferencias_educacion_privada,Mendoza,1533309489.82,2016
transferencias_otras,Mendoza,215036239.67,2016
bienes_y_servicios_no_personales,San Juan,111869439.83,2011
erogacion_de_capital,San Juan,210638317.835357,2011
personal,San Juan,1063004944.7,2011
transferencias_educacion_privada,San Juan,206389608.67,2011
transferencias_otras,San Juan,12724428.52,2011
bienes_y_servicios_no_personales,San Juan,141408855.42,2012
erogacion_de_capital,San Juan,199184015.977778,2012
personal,San Juan,1350840776.07,2012
transferencias_educacion_privada,San Juan,275142257.65,2012
transferencias_otras,San Juan,16675424.73,2012
bienes_y_servicios_no_personales,San Juan,184325359.05,2013
erogacion_de_capital,San Juan,192658739.57,2013
personal,San Juan,1779114416.07,2013
transferencias_educacion_privada,San Juan,353647430.28,2013
transferencias_otras,San Juan,28904978.48,2013
bienes_y_servicios_no_personales,San Juan,314033964.17,2014
erogacion_de_capital,San Juan,307563624.38,2014
personal,San Juan,2423317682.11,2014
transferencias_educacion_privada,San Juan,486875234.76,2014
transferencias_otras,San Juan,38530020.08,2014
bienes_y_servicios_no_personales,San Juan,428798829.81,2015
erogacion_de_capital,San Juan,691871192.001746,2015
personal,San Juan,3189465748.33,2015
transferencias_educacion_privada,San Juan,662101689.5,2015
transferencias_otras,San Juan,44572264.61,2015
bienes_y_servicios_no_personales,San Juan,404883462.33,2016
erogacion_de_capital,San Juan,802458444.001746,2016
personal,San Juan,4508400599.71,2016
transferencias_educacion_privada,San Juan,922026384.32,2016
transferencias_otras,San Juan,20400524.07,2016
bienes_y_servicios_no_personales,Formosa,28015752.42,2011
erogacion_de_capital,Formosa,310827299.288878,2011
personal,Formosa,1311850523.9218,2011
transferencias_educacion_privada,Formosa,47370985.5682,2011
transferencias_otras,Formosa,3774176.46,2011
bienes_y_servicios_no_personales,Formosa,34074466.32,2012
erogacion_de_capital,Formosa,339180084.667407,2012
personal,Formosa,1621391149.58,2012
transferencias_educacion_privada,Formosa,49868979.13,2012
transferencias_otras,Formosa,8538250.49,2012
bienes_y_servicios_no_personales,Formosa,54185153.12,2013
erogacion_de_capital,Formosa,394744195.51,2013
personal,Formosa,2054905194.8996,2013
transferencias_educacion_privada,Formosa,67094104.3104,2013
transferencias_otras,Formosa,6077935.38,2013
bienes_y_servicios_no_personales,Formosa,89567677.26,2014
erogacion_de_capital,Formosa,522143625.915,2014
personal,Formosa,2719677637.3296,2014
transferencias_educacion_privada,Formosa,89851783.294575,2014
transferencias_otras,Formosa,5356579.915825,2014
bienes_y_servicios_no_personales,Formosa,149280576.54,2015
erogacion_de_capital,Formosa,798248800.49,2015
personal,Formosa,3757887491.122,2015
transferencias_educacion_privada,Formosa,123797497.25415,2015
transferencias_otras,Formosa,13231515.0,2015
bienes_y_servicios_no_personales,Formosa,118589936.33,2016
erogacion_de_capital,Formosa,858701241.511746,2016
personal,Formosa,5095107430.89,2016
transferencias_educacion_privada,Formosa,185717715.54,2016
transferencias_otras,Formosa,4368309.5,2016
bienes_y_servicios_no_personales,Corrientes,67529767.55,2011
erogacion_de_capital,Corrientes,260535305.507347,2011
personal,Corrientes,1888040853.22,2011
transferencias_educacion_privada,Corrientes,224272255.31,2011
transferencias_otras,Corrientes,3505880.82,2011
bienes_y_servicios_no_personales,Corrientes,85534405.8,2012
erogacion_de_capital,Corrientes,167538960.718148,2012
personal,Corrientes,2414259655.51,2012
transferencias_educacion_privada,Corrientes,291973777.94,2012
transferencias_otras,Corrientes,2481041.47,2012
bienes_y_servicios_no_personales,Corrientes,147769798.51,2013
erogacion_de_capital,Corrientes,257034381.94,2013
personal,Corrientes,3057566407.865,2013
transferencias_educacion_privada,Corrientes,365304899.163,2013
transferencias_otras,Corrientes,3759297.46,2013
bienes_y_servicios_no_personales,Corrientes,185000299.29,2014
erogacion_de_capital,Corrientes,205337285.85,2014
personal,Corrientes,4081349241.81,2014
transferencias_educacion_privada,Corrientes,492869789.9,2014
transferencias_otras,Corrientes,6461481.0,2014
bienes_y_servicios_no_personales,Corrientes,274062930.11,2015
erogacion_de_capital,Corrientes,341494879.746984,2015
personal,Corrientes,5325797913.2,2015
transferencias_educacion_privada,Corrientes,639829604.95,2015
transferencias_otras,Corrientes,11183758.5,2015
bienes_y_servicios_no_personales,Corrientes,333150573.29,2016
erogacion_de_capital,Corrientes,372623263.54,2016
personal,Corrientes,7804114510.7,2016
transferencias_educacion_privada,Corrientes,880704857.03,2016
transferencias_otras,Corrientes,2715957.75,2016
bienes_y_servicios_no_personales,Buenos Aires,609848957.02,2011
erogacion_de_capital,Buenos Aires,1642743244.88388,2011
personal,Buenos Aires,25422474688.98,2011
transferencias_educacion_privada,Buenos Aires,4088816402.39,2011
transferencias_otras,Buenos Aires,83682435.26,2011
bienes_y_servicios_no_personales,Buenos Aires,697950810.9,2012
erogacion_de_capital,Buenos Aires,822743462.303185,2012
personal,Buenos Aires,31677063621.76,2012
transferencias_educacion_privada,Buenos Aires,4925455963.13,2012
transferencias_otras,Buenos Aires,20969061.39,2012
bienes_y_servicios_no_personales,Buenos Aires,908123415.78,2013
erogacion_de_capital,Buenos Aires,2187057164.215,2013
personal,Buenos Aires,39332362699.68,2013
transferencias_educacion_privada,Buenos Aires,5695902123.23,2013
transferencias_otras,Buenos Aires,39064360.35,2013
bienes_y_servicios_no_personales,Buenos Aires,1350430466.07,2014
erogacion_de_capital,Buenos Aires,2315400250.87,2014
personal,Buenos Aires,50125412850.29,2014
transferencias_educacion_privada,Buenos Aires,7542022525.46,2014
transferencias_otras,Buenos Aires,53033722.9,2014
bienes_y_servicios_no_personales,Buenos Aires,2312589788.27,2015
erogacion_de_capital,Buenos Aires,2255390215.8519,2015
personal,Buenos Aires,75475100575.12,2015
transferencias_educacion_privada,Buenos Aires,10775413375.62,2015
transferencias_otras,Buenos Aires,67861365.76,2015
bienes_y_servicios_no_personales,Buenos Aires,1779867662.04,2016
erogacion_de_capital,Buenos Aires,1425671258.23397,2016
personal,Buenos Aires,98109525755.11,2016
transferencias_educacion_privada,Buenos Aires,14423944392.2,2016
transferencias_otras,Buenos Aires,68366878.78,2016
bienes_y_servicios_no_personales,San Luis,18576874.16,2011
erogacion_de_capital,San Luis,73372324.702449,2011
personal,San Luis,600357738.6,2011
transferencias_educacion_privada,San Luis,107766934.6,2011
transferencias_otras,San Luis,14346010.66,2011
bienes_y_servicios_no_personales,San Luis,25028437.41,2012
erogacion_de_capital,San Luis,245969969.555556,2012
personal,San Luis,739324579.26,2012
transferencias_educacion_privada,San Luis,137764250.49,2012
transferencias_otras,San Luis,16035001.57,2012
bienes_y_servicios_no_personales,San Luis,58302417.77,2013
erogacion_de_capital,San Luis,421017322.37,2013
personal,San Luis,924548549.12,2013
transferencias_educacion_privada,San Luis,180847121.45,2013
transferencias_otras,San Luis,129783198.95,2013
bienes_y_servicios_no_personales,San Luis,96482013.4,2014
erogacion_de_capital,San Luis,627718887.581,2014
personal,San Luis,1451475466.37,2014
transferencias_educacion_privada,San Luis,273826740.18,2014
transferencias_otras,San Luis,205070583.37,2014
bienes_y_servicios_no_personales,San Luis,140204524.8,2015
erogacion_de_capital,San Luis,571675786.351746,2015
personal,San Luis,1719702334.73,2015
transferencias_educacion_privada,San Luis,379193064.73,2015
transferencias_otras,San Luis,1100245168.48,2015
bienes_y_servicios_no_personales,San Luis,154520644.3,2016
erogacion_de_capital,San Luis,945378875.941746,2016
personal,San Luis,2573549238.96,2016
transferencias_educacion_privada,San Luis,605514901.53,2016
transferencias_otras,San Luis,957706154.52,2016
bienes_y_servicios_no_personales,Tucumán,53892831.94,2011
erogacion_de_capital,Tucumán,188217442.560357,2011
personal,Tucumán,2447395862.29,2011
transferencias_educacion_privada,Tucumán,292805924.35,2011
transferencias_otras,Tucumán,79026425.8,2011
bienes_y_servicios_no_personales,Tucumán,67411188.88,2012
erogacion_de_capital,Tucumán,221263691.603333,2012
personal,Tucumán,3117664442.991,2012
transferencias_educacion_privada,Tucumán,386614208.929,2012
transferencias_otras,Tucumán,61009151.11,2012
bienes_y_servicios_no_personales,Tucumán,67424407.81,2013
erogacion_de_capital,Tucumán,418998526.835,2013
personal,Tucumán,4165895631.19,2013
transferencias_educacion_privada,Tucumán,448040238.13,2013
transferencias_otras,Tucumán,188351674.13,2013
bienes_y_servicios_no_personales,Tucumán,86675273.44,2014
erogacion_de_capital,Tucumán,348193925.075,2014
personal,Tucumán,5394887952.89,2014
transferencias_educacion_privada,Tucumán,597862798.93,2014
transferencias_otras,Tucumán,7305514.5,2014
bienes_y_servicios_no_personales,Tucumán,158891388.02,2015
erogacion_de_capital,Tucumán,429805351.72,2015
personal,Tucumán,7036032139.48,2015
transferencias_educacion_privada,Tucumán,761934532.05,2015
transferencias_otras,Tucumán,228049740.82,2015
bienes_y_servicios_no_personales,Tucumán,111597377.38,2016
erogacion_de_capital,Tucumán,431024287.36,2016
personal,Tucumán,9555659366.58,2016
transferencias_educacion_privada,Tucumán,1051854501.74,2016
transferencias_otras,Tucumán,222331409.06,2016
bienes_y_servicios_no_personales,La Pampa,75262166.79,2011
erogacion_de_capital,La Pampa,68912771.7108673,2011
personal,La Pampa,1019025614.54,2011
transferencias_educacion_privada,La Pampa,121056620.66,2011
transferencias_otras,La Pampa,10933982.92,2011
bienes_y_servicios_no_personales,La Pampa,93990031.52,2012
erogacion_de_capital,La Pampa,132607121.52963,2012
personal,La Pampa,1334581706.01,2012
transferencias_educacion_privada,La Pampa,159611208.99,2012
transferencias_otras,La Pampa,10812685.68,2012
bienes_y_servicios_no_personales,La Pampa,152157856.37,2013
erogacion_de_capital,La Pampa,141976291.21,2013
personal,La Pampa,1764220334.03,2013
transferencias_educacion_privada,La Pampa,205550516.13,2013
transferencias_otras,La Pampa,12444868.53,2013
bienes_y_servicios_no_personales,La Pampa,223186502.11,2014
erogacion_de_capital,La Pampa,136181642.085,2014
personal,La Pampa,2371357216.37,2014
transferencias_educacion_privada,La Pampa,274239750.78,2014
transferencias_otras,La Pampa,16160247.59,2014
bienes_y_servicios_no_personales,La Pampa,284202189.93,2015
erogacion_de_capital,La Pampa,166048074.903492,2015
personal,La Pampa,3191299478.14,2015
transferencias_educacion_privada,La Pampa,368109836.92,2015
transferencias_otras,La Pampa,21338692.96,2015
bienes_y_servicios_no_personales,La Pampa,397964737.61,2016
erogacion_de_capital,La Pampa,153950458.28,2016
personal,La Pampa,4318283816.42,2016
transferencias_educacion_privada,La Pampa,488981390.54,2016
transferencias_otras,La Pampa,16497451.81,2016
bienes_y_servicios_no_personales,Río Negro,127901697.34,2011
erogacion_de_capital,Río Negro,120037301.41,2011
personal,Río Negro,1592229536.22,2011
transferencias_educacion_privada,Río Negro,113984754.28,2011
transferencias_otras,Río Negro,68011227.14,2011
bienes_y_servicios_no_personales,Río Negro,98986092.89,2012
erogacion_de_capital,Río Negro,147297946.726296,2012
personal,Río Negro,2140743321.02,2012
transferencias_educacion_privada,Río Negro,176607271.86,2012
transferencias_otras,Río Negro,26427788.63,2012
bienes_y_servicios_no_personales,Río Negro,131504901.0,2013
erogacion_de_capital,Río Negro,99524013.885,2013
personal,Río Negro,2992818834.94,2013
transferencias_educacion_privada,Río Negro,233777963.33,2013
transferencias_otras,Río Negro,91453628.34,2013
bienes_y_servicios_no_personales,Río Negro,165850667.39,2014
erogacion_de_capital,Río Negro,153861440.36,2014
personal,Río Negro,3834992508.63,2014
transferencias_educacion_privada,Río Negro,266178675.66,2014
transferencias_otras,Río Negro,122516333.03,2014
bienes_y_servicios_no_personales,Río Negro,407566780.37,2015
erogacion_de_capital,Río Negro,334871842.01873,2015
personal,Río Negro,5536887620.28,2015
transferencias_educacion_privada,Río Negro,448215799.56,2015
transferencias_otras,Río Negro,271976730.68,2015
bienes_y_servicios_no_personales,Río Negro,321531128.38,2016
erogacion_de_capital,Río Negro,298205936.011746,2016
personal,Río Negro,7427777734.16,2016
transferencias_educacion_privada,Río Negro,549975647.96,2016
transferencias_otras,Río Negro,157993081.94,2016
bienes_y_servicios_no_personales,Jujuy,17010128.0,2011
erogacion_de_capital,Jujuy,154843620.690153,2011
personal,Jujuy,1681636510.0,2011
transferencias_educacion_privada,Jujuy,153891970.0,2011
transferencias_otras,Jujuy,2481300.0,2011
bienes_y_servicios_no_personales,Jujuy,19873187.93,2012
erogacion_de_capital,Jujuy,119797621.034444,2012
personal,Jujuy,2119770190.0,2012
transferencias_educacion_privada,Jujuy,198080410.0,2012
transferencias_otras,Jujuy,8360937.5,2012
bienes_y_servicios_no_personales,Jujuy,32270345.36,2013
erogacion_de_capital,Jujuy,188831071.42,2013
personal,Jujuy,2753943000.0,2013
transferencias_educacion_privada,Jujuy,268560000.0,2013
transferencias_otras,Jujuy,10644190.0,2013
bienes_y_servicios_no_personales,Jujuy,33616564.15,2014
erogacion_de_capital,Jujuy,189291737.63,2014
personal,Jujuy,3631190000.0,2014
